class_id,class_name,support,roc_auc,pr_auc,f1,precision,recall
0,1139490,0,,,0.0,0.0,0.0
1,1192948,1,1.0,1.0,0.5,0.3333333333333333,1.0
2,1194042,1,0.7053571428571428,0.0005938242280285036,0.0,0.0,0.0
3,126247,1,1.0,1.0,0.2,0.1111111111111111,1.0
4,1346504,1,0.9583333333333334,0.0041841004184100415,0.0,0.0,0.0
5,134933,1,0.37184873949579833,0.00027862914460852607,0.0,0.0,0.0
6,135045,2,0.9938714760987568,0.039922480620155035,0.0,0.0,0.0
7,1462711,1,0.6274509803921567,0.0004697040864255519,0.0,0.0,0.0
8,1462737,1,0.9959733893557423,0.041666666666666664,0.0,0.0,0.0
9,1564122,1,0.47198879551820727,0.00033145508783559825,0.0,0.0,0.0
10,21038,0,,,0.0,0.0,0.0
11,21116,0,,,0.0,0.0,0.0
12,21211,15,0.9463788463788464,0.43838685998404636,0.11827956989247312,0.06432748538011696,0.7333333333333333
13,22333,9,0.9556451612903225,0.3867178464766812,0.14634146341463414,0.0821917808219178,0.6666666666666666
14,22973,11,0.9099359076560058,0.16083257110321938,0.10687022900763359,0.058333333333333334,0.6363636363636364
15,22976,9,0.9981689262895433,0.3032072837806001,0.2535211267605634,0.14516129032258066,1.0
16,24272,1,0.9376750700280112,0.0028011204481792717,0.0,0.0,0.0
17,24292,1,1.0,1.0,1.0,1.0,1.0
18,24322,3,0.9966725043782837,0.2219679633867277,0.15384615384615385,0.1,0.3333333333333333
19,41663,22,0.8882725515566844,0.06391220795313461,0.0759493670886076,0.04081632653061224,0.5454545454545454
20,41778,0,,,0.0,0.0,0.0
21,41970,3,0.8311150029188558,0.6670119705340699,0.4,0.2857142857142857,0.6666666666666666
22,42007,4,0.823042564372044,0.0036147148544955873,0.0,0.0,0.0
23,42087,0,,,0.0,0.0,0.0
24,42113,0,,,0.0,0.0,0.0
25,46010,1,0.9544817927170869,0.0038314176245210726,0.0,0.0,0.0
26,47067,0,,,0.0,0.0,0.0
27,476537,0,,,0.0,0.0,0.0
28,476538,1,0.9998249299719888,0.5,0.3333333333333333,0.2,1.0
29,48124,4,0.926826064109301,0.046355454170907855,0.10256410256410256,0.05714285714285714,0.5
30,50186,6,0.9695403305881666,0.578053265438086,0.23255813953488372,0.13513513513513514,0.8333333333333334
31,517119,12,0.8448956323452026,0.2218560034479095,0.1728395061728395,0.10144927536231885,0.5833333333333334
32,523060,1,0.9998249299719888,0.5,0.024096385542168676,0.012195121951219513,1.0
33,528041,0,,,0.0,0.0,0.0
34,52884,7,0.659856792348906,0.0029033360833181795,0.0,0.0,0.0
35,548639,1,0.9902836134453781,0.010752688172043012,0.0,0.0,0.0
36,555086,5,0.9774001401541696,0.20033935413245757,0.2222222222222222,0.12903225806451613,0.8
37,555142,1,0.8566176470588236,0.0012195121951219512,0.0,0.0,0.0
38,566513,5,0.9817098808689558,0.2508823198029024,0.1111111111111111,0.061224489795918366,0.6
39,64862,0,,,0.0,0.0,0.0
40,65336,1,0.9996498599439776,0.3333333333333333,0.2,0.1111111111111111,1.0
41,65344,3,0.9561004086398132,0.3456990766911626,0.07692307692307693,0.043478260869565216,0.3333333333333333
42,65349,3,0.9897840046701692,0.5612052730696798,0.039603960396039604,0.02040816326530612,0.6666666666666666
43,65373,6,0.9456807429472577,0.18873051823868797,0.08888888888888889,0.05128205128205128,0.3333333333333333
44,65419,1,0.9998249299719888,0.5,0.6666666666666666,0.5,1.0
45,65448,16,0.9902580305423907,0.46704334014472015,0.23853211009174313,0.13978494623655913,0.8125
46,65547,1,0.7935924369747899,0.000847457627118644,0.0,0.0,0.0
47,65962,4,0.9819583114380802,0.1434667655053126,0.05,0.027777777777777776,0.25
48,66016,0,,,0.0,0.0,0.0
49,66531,0,,,0.0,0.0,0.0
50,66578,0,,,0.0,0.0,0.0
51,66893,1,1.0,1.0,0.4,0.25,1.0
52,67082,0,,,0.0,0.0,0.0
53,67252,3,0.9966725043782837,0.15416666666666667,0.16666666666666666,0.1111111111111111,0.3333333333333333
54,714022,1,1.0,1.0,0.18181818181818182,0.1,1.0
55,715170,3,1.0,1.0,0.35294117647058826,0.21428571428571427,1.0
56,787625,1,0.8832282913165267,0.0014970059880239522,0.0,0.0,0.0
57,81930,0,,,0.0,0.0,0.0
58,868458,1,1.0,1.0,0.6666666666666666,0.5,1.0
59,963335,1,0.9865196078431373,0.01282051282051282,0.0,0.0,0.0
60,amakin1,19,0.8385927938920008,0.09349219424399241,0.09389671361502347,0.05154639175257732,0.5263157894736842
61,amekes,82,0.8670372199193489,0.2114590012775795,0.13990461049284578,0.08043875685557587,0.5365853658536586
62,ampkin1,6,0.6996086677180071,0.0022499127770824433,0.0,0.0,0.0
63,anhing,18,0.8518876207199297,0.09191939228933595,0.05084745762711865,0.027522935779816515,0.3333333333333333
64,babwar,33,0.8156076611182246,0.060833205032220165,0.03709949409780776,0.019642857142857142,0.3333333333333333
65,bafibi1,5,0.8250875963559916,0.13811340373515119,0.09836065573770492,0.05357142857142857,0.6
66,banana,138,0.8082140768180932,0.19744207630025967,0.18766066838046272,0.1140625,0.5289855072463768
67,baymac,35,0.8237155940220399,0.09417080831885921,0.08970976253298153,0.04941860465116279,0.4857142857142857
68,bbwduc,93,0.8809809436344853,0.29888596856356475,0.17266187050359713,0.09966777408637874,0.6451612903225806
69,bicwre1,22,0.8507212344850721,0.09160812305869294,0.14444444444444443,0.08227848101265822,0.5909090909090909
70,bkcdon,44,0.8207355794672782,0.20736042572961338,0.1004566210045662,0.05583756345177665,0.5
71,bkmtou1,64,0.8710750796601169,0.4013591832467487,0.195,0.11607142857142858,0.609375
